index,x_mm,y_mm,z_mm
232,34.66812,-17.75614,3.15000
233,36.05484,-13.04129,3.15000
234,48.25798,-10.54520,2.99400
235,61.57049,-10.26785,3.15000
236,30.50796,-8.60379,3.15000
237,35.50015,-6.10769,2.99400
238,46.59391,-2.50222,3.15000
239,58.24236,0.27122,3.15000
240,30.78531,-33.28740,3.46200
241,27.73452,-32.45537,3.46200
242,23.29702,-30.23662,3.46200
243,49.92204,-28.57256,3.46200
244,21.91030,-27.18583,3.46200
245,64.34393,-25.79912,3.46200
246,28.84390,-21.91630,3.46200
247,29.95327,-18.03348,3.46200
248,36.33218,-13.31864,3.46200
249,52.69548,-11.37723,3.46200
250,44.09782,-9.99051,3.46200
251,28.84390,-8.60379,3.46200
252,33.83609,-5.83035,3.46200
253,46.59391,-2.50222,3.46200
254,58.24236,0.82591,3.46200
255,36.60953,-33.28740,3.61800
256,44.37516,-31.62334,3.61800
257,22.46498,-28.84990,3.77400
258,56.57830,-28.01787,3.77400
259,63.23455,-26.63115,3.61800
260,29.67593,-24.41240,3.77400
261,20.80092,-20.52958,3.77400
262,21.91030,-16.09208,3.77400
263,52.41814,-12.20926,3.77400
264,52.69548,-11.93192,3.77400
265,39.38297,-10.26785,3.77400
266,29.39858,-8.32644,3.61800
267,36.60953,-5.83035,3.77400
268,46.87126,-2.22488,3.77400
269,56.57830,-35.22881,4.08600
270,51.03142,-33.56475,4.08600
271,66.28533,-31.62334,4.08600
272,46.59391,-29.40459,3.93000
273,58.79705,-27.74052,3.93000
274,52.69548,-26.90849,4.08600
275,62.67986,-25.52177,3.93000
276,24.68374,-23.30302,4.08600
277,20.80092,-18.86552,4.08600
278,21.35561,-15.53739,4.08600
279,48.25798,-13.04129,4.08600
280,33.83609,-12.20926,3.93000
281,42.98844,-10.54520,4.08600
282,28.28921,-8.60379,4.08600
283,59.35173,-7.21707,3.93000
284,55.74627,-5.55300,4.08600
285,48.81266,-3.88894,3.93000
286,48.53532,-0.56081,4.08600
287,53.52751,-34.39678,4.39800
288,29.39858,-33.01006,4.39800
289,24.96108,-31.34599,4.39800
290,22.18764,-28.57256,4.39800
291,29.39858,-26.90849,4.39800
292,57.68767,-26.07646,4.24200
293,61.84783,-24.96708,4.39800
294,64.34393,-23.30302,4.24200
295,23.29702,-19.14286,4.39800
296,31.89468,-14.98270,4.39800
297,54.91423,-13.87332,4.24200
